Image 0: Predicted - Ancistrus, Actual - Ancistrus
Image 1: Predicted - Ancistrus, Actual - Ancistrus
Image 2: Predicted - Ancistrus, Actual - Ancistrus
Image 3: Predicted - Ancistrus, Actual - Ancistrus
Image 4: Predicted - Tyttocharax, Actual - Ancistrus
Image 5: Predicted - Rineloricaria, Actual - Ancistrus
Image 6: Predicted - Ancistrus, Actual - Ancistrus
Image 7: Predicted - Ancistrus, Actual - Ancistrus
Image 8: Predicted - Ancistrus, Actual - Ancistrus
Image 9: Predicted - Ancistrus, Actual - Ancistrus
Image 10: Predicted - Ancistrus, Actual - Ancistrus
Image 11: Predicted - Ancistrus, Actual - Ancistrus
Image 12: Predicted - Ancistrus, Actual - Ancistrus
Image 13: Predicted - Ancistrus, Actual - Ancistrus
Image 14: Predicted - Ancistrus, Actual - Ancistrus
Image 15: Predicted - Ancistrus, Actual - Ancistrus
Image 16: Predicted - Ancistrus, Actual - Ancistrus
Image 17: Predicted - Ancistrus, Actual - Ancistrus
Image 18: Predicted - Ancistrus, Actual - Ancistrus
Image 19: Predicted - Ancistrus, Actual - Ancistrus
Image 20: Predicted - Ancistrus, Actual - Ancistrus
Image 21: Predicted - Ancistrus, Actual - Ancistrus
Image 22: Predicted - Ancistrus, Actual - Ancistrus
Image 23: Predicted - Ancistrus, Actual - Ancistrus
Image 24: Predicted - Ancistrus, Actual - Ancistrus
Image 25: Predicted - Ancistrus, Actual - Ancistrus
Image 26: Predicted - Ancistrus, Actual - Ancistrus
Image 27: Predicted - Ancistrus, Actual - Ancistrus
Image 28: Predicted - Ancistrus, Actual - Ancistrus
Image 29: Predicted - Ancistrus, Actual - Ancistrus
Image 30: Predicted - Ancistrus, Actual - Ancistrus
Image 31: Predicted - Ancistrus, Actual - Ancistrus
Image 32: Predicted - Ancistrus, Actual - Ancistrus
Image 33: Predicted - Ancistrus, Actual - Ancistrus
Image 34: Predicted - Ancistrus, Actual - Ancistrus
Image 35: Predicted - Ancistrus, Actual - Ancistrus
Image 36: Predicted - Ancistrus, Actual - Ancistrus
Image 37: Predicted - Ancistrus, Actual - Ancistrus
Image 38: Predicted - Ancistrus, Actual - Ancistrus
Image 39: Predicted - Ancistrus, Actual - Ancistrus
Image 40: Predicted - Ancistrus, Actual - Ancistrus
Image 41: Predicted - Ancistrus, Actual - Ancistrus
Image 42: Predicted - Ancistrus, Actual - Ancistrus
Image 43: Predicted - Ancistrus, Actual - Ancistrus
Image 44: Predicted - Ancistrus, Actual - Ancistrus
Image 45: Predicted - Ancistrus, Actual - Ancistrus
Image 46: Predicted - Ancistrus, Actual - Ancistrus
Image 47: Predicted - Ancistrus, Actual - Ancistrus
Image 48: Predicted - Ancistrus, Actual - Ancistrus
Image 49: Predicted - Ancistrus, Actual - Ancistrus
Image 50: Predicted - Ancistrus, Actual - Ancistrus
Image 51: Predicted - Ancistrus, Actual - Ancistrus
Image 52: Predicted - Ancistrus, Actual - Ancistrus
Image 53: Predicted - Apistogramma, Actual - Apistogramma
Image 54: Predicted - Apistogramma, Actual - Apistogramma
Image 55: Predicted - Apistogramma, Actual - Apistogramma
Image 56: Predicted - Apistogramma, Actual - Apistogramma
Image 57: Predicted - Apistogramma, Actual - Apistogramma
Image 58: Predicted - Apistogramma, Actual - Apistogramma
Image 59: Predicted - Apistogramma, Actual - Apistogramma
Image 60: Predicted - Creagrutus, Actual - Apistogramma
Image 61: Predicted - Apistogramma, Actual - Apistogramma
Image 62: Predicted - Apistogramma, Actual - Apistogramma
Image 63: Predicted - Apistogramma, Actual - Apistogramma
Image 64: Predicted - Apistogramma, Actual - Apistogramma
Image 65: Predicted - Apistogramma, Actual - Apistogramma
Image 66: Predicted - Apistogramma, Actual - Apistogramma
Image 67: Predicted - Apistogramma, Actual - Apistogramma
Image 68: Predicted - Apistogramma, Actual - Apistogramma
Image 69: Predicted - Apistogramma, Actual - Apistogramma
Image 70: Predicted - Pyrrhulina, Actual - Apistogramma
Image 71: Predicted - Apistogramma, Actual - Apistogramma
Image 72: Predicted - Apistogramma, Actual - Apistogramma
Image 73: Predicted - Apistogramma, Actual - Apistogramma
Image 74: Predicted - Apistogramma, Actual - Apistogramma
Image 75: Predicted - Characidium, Actual - Apistogramma
Image 76: Predicted - Apistogramma, Actual - Apistogramma
Image 77: Predicted - Apistogramma, Actual - Apistogramma
Image 78: Predicted - Apistogramma, Actual - Apistogramma
Image 79: Predicted - Apistogramma, Actual - Apistogramma
Image 80: Predicted - Apistogramma, Actual - Apistogramma
Image 81: Predicted - Apistogramma, Actual - Apistogramma
Image 82: Predicted - Apistogramma, Actual - Apistogramma
Image 83: Predicted - Apistogramma, Actual - Apistogramma
Image 84: Predicted - Apistogramma, Actual - Apistogramma
Image 85: Predicted - Apistogramma, Actual - Apistogramma
Image 86: Predicted - Apistogramma, Actual - Apistogramma
Image 87: Predicted - Apistogramma, Actual - Apistogramma
Image 88: Predicted - Apistogramma, Actual - Apistogramma
Image 89: Predicted - Hemigrammus, Actual - Apistogramma
Image 90: Predicted - Hemigrammus, Actual - Apistogramma
Image 91: Predicted - Apistogramma, Actual - Apistogramma
Image 92: Predicted - Apistogramma, Actual - Apistogramma
Image 93: Predicted - Apistogramma, Actual - Apistogramma
Image 94: Predicted - Apistogramma, Actual - Apistogramma
Image 95: Predicted - Apistogramma, Actual - Apistogramma
Image 96: Predicted - Apistogramma, Actual - Apistogramma
Image 97: Predicted - Apistogramma, Actual - Apistogramma
Image 98: Predicted - Apistogramma, Actual - Apistogramma
Image 99: Predicted - Apistogramma, Actual - Apistogramma
Image 100: Predicted - Apistogramma, Actual - Apistogramma
Image 101: Predicted - Apistogramma, Actual - Apistogramma
Image 102: Predicted - Apistogramma, Actual - Apistogramma
Image 103: Predicted - Apistogramma, Actual - Apistogramma
Image 104: Predicted - Apistogramma, Actual - Apistogramma
Image 105: Predicted - Apistogramma, Actual - Apistogramma
Image 106: Predicted - Apistogramma, Actual - Apistogramma
Image 107: Predicted - Apistogramma, Actual - Apistogramma
Image 108: Predicted - Apistogramma, Actual - Apistogramma
Image 109: Predicted - Apistogramma, Actual - Apistogramma
Image 110: Predicted - Astyanax, Actual - Astyanax
Image 111: Predicted - Astyanax, Actual - Astyanax
Image 112: Predicted - Astyanax, Actual - Astyanax
Image 113: Predicted - Astyanax, Actual - Astyanax
Image 114: Predicted - Astyanax, Actual - Astyanax
Image 115: Predicted - Astyanax, Actual - Astyanax
Image 116: Predicted - Astyanax, Actual - Astyanax
Image 117: Predicted - Astyanax, Actual - Astyanax
Image 118: Predicted - Astyanax, Actual - Astyanax
Image 119: Predicted - Astyanax, Actual - Astyanax
Image 120: Predicted - Astyanax, Actual - Astyanax
Image 121: Predicted - Astyanax, Actual - Astyanax
Image 122: Predicted - Astyanax, Actual - Astyanax
Image 123: Predicted - Astyanax, Actual - Astyanax
Image 124: Predicted - Hemigrammus, Actual - Astyanax
Image 125: Predicted - Hyphessobrycon, Actual - Astyanax
Image 126: Predicted - Pimelodella, Actual - Astyanax
Image 127: Predicted - Astyanax, Actual - Astyanax
Image 128: Predicted - Astyanax, Actual - Astyanax
Image 129: Predicted - Astyanax, Actual - Astyanax
Image 130: Predicted - Astyanax, Actual - Astyanax
